station id, station name, valid,povp. T [°C],količina padavin [mm]
_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:00,29.7,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:10,28.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:20,28.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:30,29.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:40,29.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 13:50,30.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:00,31.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:10,31.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:20,31.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:30,31,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:40,31.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 14:50,31.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:00,31.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:10,31.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:20,31.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:30,31.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:40,31.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 15:50,31.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:00,31.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:10,31,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:20,31.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:30,30.9,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:40,30.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 16:50,30.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:00,30.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:10,30.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:20,29.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:30,29.4,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:40,29,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 17:50,28.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:00,28.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:10,28.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:20,28.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:30,28,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:40,27.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 18:50,27.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:00,26.8,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:10,26.6,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:20,26.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:30,26,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:40,25.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 19:50,25.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:00,25.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:10,25,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:20,24.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:30,24.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:40,24.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 20:50,24.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:00,24.3,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:10,24.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:20,24.1,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:30,24,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:40,23.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 21:50,23.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:00,23.5,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:10,23.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:20,23.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:30,23.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:40,23.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 22:50,23.3,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:00,23.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:10,22.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:20,21.7,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:30,21.2,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:40,20.9,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-01 23:50,20.4,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:00,20.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:10,19.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:20,19,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:30,19,1.3

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:40,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 00:50,18.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:00,18.6,1.6

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:10,18.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-02 01:20,18.3,

