station id, station name, valid,povp. T [°C],količina padavin [mm]
_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:30,24.6,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:40,25.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 09:50,25.8,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 10:00,26.1,0

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 10:10,26.5,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 10:20,27.2,

_1828,LJUBLJANA - BEŽIGRAD,2022-08-03 10:30,27.2,0

